Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_11,0.16,62.275,54022.28020875151,826.92,C, ,64.375,1,1,0
Grade_11,0.11,64.375,46015.0,704.4,C, ,64.375,1,1,0
Grade_11,0.1,63.188,51300.34126732924,791.88,C, ,63.838,1,1,0
Grade_11,0.201,62.256,49898.56007453096,770.28,C, ,63.838,1,1,0
Grade_11,0.201,62.256,49898.56007453096,770.28,C, ,63.838,1,1,0
Grade_11,0.156,62.056,50059.37791672039,772.68,C, ,63.838,1,1,0
Grade_6,0.116,63.838,50435.0,778.56,C, ,63.838,1,1,0
Grade_6,0.116,63.838,50435.0,778.56,C, ,63.838,1,1,0
Grade_6,0.116,63.838,50435.0,778.56,C, ,63.838,1,1,0
Grade_6,0.116,63.838,50435.0,778.56,C, ,63.838,1,1,0
Grade_6,0.116,63.838,50435.0,778.56,C, ,63.838,1,1,0
Grade_6,0.116,63.838,50435.0,778.56,C, ,63.838,1,1,0
Grade_11,0.1,62.188,46756.50723612272,739.08,C, ,62.338,1,1,0
Grade_11,0.09,62.188,45489.0,720.84,C, ,62.188,1,1,0
Grade_11,0.09,62.188,45489.0,720.84,C, ,62.188,1,1,0
Grade_11,0.09,62.188,45489.0,720.84,C, ,62.188,1,1,0
Grade_11,0.08,61.938,46547.0,740.52,C, ,61.938,1,1,0
Grade_11,0.08,61.938,46547.0,740.52,C, ,61.938,1,1,0
Grade_11,0.08,61.938,46547.0,740.52,C, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
Grade_28,0.116,55.65,80248.94296495958,1276.68,M, ,61.938,1,1,0
