Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52678.8520055325,951.6,C, ,54.55,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.26,54.225,52365.0,951.6,C, ,54.225,1,1,0
Grade_11,0.23,53.6,47024.62779850746,855.72,C, ,54.15,1,1,0
Grade_11,0.166,52.825,60525.069001419775,1105.08,C, ,53.97,1,1,0
Grade_11,0.135,51.4,59981.25,1095.12,C, ,53.97,1,1,0
Grade_11,0.285,49.694,53614.55427214553,1006.92,C, ,52.47,1,1,0
Grade_11,0.19,49.65,50903.271903323264,984.12,C, ,50.97,1,1,0
Grade_11,0.176,49.65,47674.0,946.2,C, ,49.65,1,1,0
Grade_11,0.19,49.65,49585.0,984.12,C, ,49.65,1,1,0
Grade_11,0.19,49.65,49585.0,984.12,C, ,49.65,1,1,0
Grade_11,0.19,49.65,49585.0,984.12,C, ,49.65,1,1,0
Grade_11,0.167,49.494,42400.4952115408,842.52,C, ,49.594,1,1,0
Grade_11,0.131,49.525,50848.74572438163,1010.28,C, ,49.594,1,1,0
Grade_11,0.155,48.425,60332.112338668056,1198.8,M, ,49.594,1,2,0
Grade_11,0.15,48.713,47535.4310758935,944.52,C, ,49.594,1,2,0
Grade_11,0.095,49.594,47605.0,945.84,C, ,49.594,1,2,0
Grade_11,0.155,48.425,58910.0,1198.8,M, ,48.425,1,2,0
Grade_11,0.165,48.4,49608.0,1010.04,M, ,48.4,1,2,0
Grade_11,0.14,48.4,49608.0,1010.04,M, ,48.4,1,2,0
Grade_11,0.115,48.152,58910.0,1205.52,M, ,48.152,1,2,0
Grade_11,0.115,48.152,58910.0,1205.52,M, ,48.152,1,2,0
Grade_11,0.115,47.775,53235.0,1098.0,C, ,47.775,1,2,0
Grade_11,0.1,47.625,62144.0,1284.0,C, ,47.625,1,2,0
Grade_11,0.1,47.625,62144.0,1284.0,C, ,47.625,1,2,0
Grade_11,0.08,45.125,47578.51246537396,1016.4,C, ,46.125,1,2,0
Grade_11,0.075,44.375,53534.91549295775,1182.12,C, ,44.625,1,2,0
Grade_11,0.086,44.344,53235.0,1182.96,C, ,44.344,1,2,0
Grade_11,0.08,44.344,53235.0,1182.96,C, ,44.344,1,2,0
Grade_11,0.086,44.344,53235.0,1182.96,C, ,44.344,1,2,0
Grade_11,0.08,44.344,53235.0,1182.96,C, ,44.344,1,2,0
Grade_11,0.08,43.625,48662.0,1099.2,C, ,43.625,1,2,0
Grade_11,0.21,43.225,41363.0,942.96,C, ,43.225,1,2,0
Grade_11,0.215,41.85,42153.69056152926,973.92,C, ,42.65,1,2,0
Grade_11,0.166,41.65,42048.97959183674,975.0,C, ,42.5,1,2,0
Grade_11,0.166,41.65,42048.97959183674,975.0,C, ,42.5,1,2,0
Grade_11,0.145,39.963,42748.85519105173,991.2,C, ,42.5,1,2,0
Grade_11,0.08,42.5,53235.0,1234.32,C, ,42.5,1,2,0
Grade_11,0.166,39.384,55197.62268941703,1280.76,C, ,42.469,1,3,0
Grade_11,0.145,39.963,42717.67367314766,991.2,C, ,42.469,1,3,0
Grade_11,0.07,42.469,53235.0,1235.16,C, ,42.469,1,3,0
Grade_11,0.07,42.469,53235.0,1235.16,C, ,42.469,1,3,0
Grade_11,0.07,42.469,53235.0,1235.16,C, ,42.469,1,3,0
Grade_11,0.07,42.469,53235.0,1235.16,C, ,42.469,1,3,0
Grade_11,0.07,42.469,53235.0,1235.16,C, ,42.469,1,3,0
Grade_11,0.07,42.469,53235.0,1235.16,C, ,42.469,1,3,0
Grade_6,0.19,49.65,54478.58509566968,984.12,C, ,54.55,2,1,0
Grade_6,0.1445,53.22,70110.38237504697,1266.48,M, ,54.55,2,1,0
Grade_6,0.1445,53.22,70110.38237504697,1266.48,M, ,54.55,2,1,0
Grade_6,0.123,52.32,55605.13379204893,1004.52,M, ,54.55,2,1,0
Grade_6,0.087,54.55,53440.0,965.4,M, ,54.55,2,1,0
Grade_6,0.087,54.55,53440.0,965.4,M, ,54.55,2,1,0
Grade_6,0.087,54.55,53440.0,965.4,M, ,54.55,2,1,0
Grade_6,0.075,53.97,47878.15314063369,870.12,M, ,54.225,2,1,0
Grade_6,0.123,52.32,55273.84747706422,1004.52,M, ,54.225,2,1,0
Grade_6,0.145,49.0,59609.87448979592,1083.24,M, ,54.225,2,1,0
Grade_6,0.059,50.55,53237.04302670624,967.44,M, ,54.225,2,1,0
Grade_6,0.059,50.55,53237.04302670624,967.44,M, ,54.225,2,1,0
Grade_18,0.0984,53.838,46178.57321965898,839.16,C, ,54.225,2,1,0
Grade_18,0.08,53.125,56149.03058823529,1020.36,C, ,54.225,2,1,0
Grade_18,0.08,50.125,54931.412468827926,998.28,C, ,54.225,2,1,0
Grade_18,0.08,50.125,54931.412468827926,998.28,C, ,54.225,2,1,0
Grade_18,0.109,48.9,52674.76380368099,957.24,M, ,54.225,2,1,0
Grade_18,0.1,48.4,55578.38429752066,1010.04,M, ,54.225,2,1,0
Grade_11,0.109,54.15,47502.0,864.48,M, ,54.15,2,1,0
Grade_11,0.109,54.15,47502.0,864.48,M, ,54.15,2,1,0
