Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_28,0.178,65.4,48492.0,726.0,M, ,65.4,1,1,0
Grade_28,0.178,65.4,48492.0,726.0,M, ,65.4,1,1,0
Grade_28,0.178,65.4,48492.0,726.0,M, ,65.4,1,1,0
Grade_28,0.178,65.4,48492.0,726.0,M, ,65.4,1,1,0
Grade_28,0.178,65.4,48492.0,726.0,M, ,65.4,1,1,0
Grade_28,0.129,63.65,74165.16103692068,1147.0,M, ,63.900000000000006,1,1,0
Grade_28,0.1,63.75,63473.0,984.0,C, ,63.75,1,1,0
Grade_28,0.1,63.75,63473.0,984.0,C, ,63.75,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1147.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1142.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1142.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1142.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1149.0,M, ,63.65,1,1,0
Grade_28,0.129,63.65,73875.0,1149.0,M, ,63.65,1,1,0
Grade_28,0.16,62.4,45429.16746794872,703.0,C, ,63.65,1,2,0
Grade_28,0.129,63.65,73875.0,1149.0,M, ,63.65,1,2,0
Grade_28,0.129,63.65,73875.0,1149.0,M, ,63.65,1,2,0
