Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_26,0.24,48.4,70285.15237603305,591.0,M, ,54.775,1,1,0
Grade_26,0.1,50.5,51523.208910891095,933.0,M, ,54.775,1,1,0
Grade_26,0.1,50.5,51523.208910891095,933.0,M, ,54.775,1,1,0
Grade_26,0.1,50.5,50700.15445544555,933.0,M, ,53.9,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,857.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,1,0
Grade_26,0.183,49.525,52831.317516405856,976.0,C, ,53.5,1,2,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,2,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,2,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,2,0
Grade_26,0.076,53.5,46295.0,858.0,HRB, ,53.5,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,868.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.11,52.9,46295.0,867.0,HRB, ,52.9,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.127,51.8,46295.0,886.0,HRB, ,51.8,1,2,0
Grade_26,0.169,50.9,46295.0,899.0,HRB, ,50.9,1,2,0
Grade_26,0.169,50.9,46295.0,899.0,HRB, ,50.9,1,2,0
Grade_26,0.169,50.9,46295.0,899.0,HRB, ,50.9,1,2,0
Grade_26,0.169,50.9,46295.0,899.0,HRB, ,50.9,1,2,0
Grade_26,0.169,50.9,46295.0,899.0,HRB, ,50.9,1,2,0
Grade_26,0.169,50.9,46295.0,899.0,HRB, ,50.9,1,3,0
Grade_26,0.183,49.525,49868.81373043918,976.0,C, ,50.5,1,3,0
Grade_26,0.1,50.5,48912.9504950495,933.0,M, ,52.0,1,3,0
Grade_26,0.1,50.5,47502.0,933.0,M, ,50.5,1,3,0
Grade_26,0.175,44.9,62889.15367483296,1270.0,M, ,49.0,1,3,0
Grade_26,0.175,44.9,62119.08240534521,1270.0,M, ,48.4,1,3,0
Grade_26,0.121,48.4,45803.0,939.0,HRB, ,48.4,1,3,0
Grade_26,0.121,48.4,45803.0,940.0,HRB, ,48.4,1,3,0
Grade_26,0.121,48.4,45803.0,939.0,HRB, ,48.4,1,3,0
Grade_26,0.24,43.9,60182.63553530751,1272.0,M, ,46.9,1,3,0
