Grade,Gauge,OrderWidth,Weight,CoilLength,EdgeCode,CleanSteelCategory,CastWidth,Caster,RollerCampaign,"MustCast, OrderBook, Stock"
Grade_28,0.169,55.4,51461.0,912.0,M, ,55.4,1,1,0
Grade_28,0.179,54.775,69344.0,1245.0,HRB, ,54.775,1,1,0
Grade_28,0.154,53.4,54429.0,1002.0,M, ,53.4,1,1,0
Grade_28,0.164,53.4,48492.0,892.0,M, ,53.4,1,1,0
Grade_28,0.146,53.2,53640.90225563909,990.0,M, ,53.4,1,1,0
Grade_28,0.075,49.9,50174.0,991.0,M, ,49.9,1,2,0
Grade_28,0.075,49.9,50174.0,992.0,M, ,49.9,1,2,0
Grade_28,0.075,49.9,50174.0,992.0,M, ,49.9,1,2,0
Grade_28,0.073,49.8,47502.0,947.0,M, ,49.8,1,2,0
Grade_28,0.073,49.8,47502.0,947.0,M, ,49.8,1,2,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,1,4,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,1,4,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,1,4,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,1,4,0
Grade_28,0.073,48.4,46800.0,954.0,M, ,48.4,1,4,0
Grade_27,0.205,49.4,56152.13663967612,1014.0,M, ,54.775,2,1,0
Grade_27,0.075,50.0,56854.98,1056.0,C, ,53.4,2,1,0
Grade_27,0.075,50.0,56854.98,1056.0,C, ,53.4,2,1,0
Grade_27,0.075,50.0,56854.98,1056.0,C, ,53.4,2,1,0
Grade_27,0.075,50.0,56854.98,1056.0,C, ,53.4,2,1,0
Grade_28,0.075,49.9,46394.0,917.0,HRB, ,49.9,2,2,0
Grade_28,0.075,49.9,50174.0,992.0,M, ,49.9,2,2,0
Grade_28,0.075,49.9,50174.0,992.0,M, ,49.9,2,2,0
Grade_28,0.073,49.8,47502.0,947.0,M, ,49.8,2,2,0
Grade_28,0.073,49.8,47502.0,941.0,M, ,49.8,2,2,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,2,4,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,2,4,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,2,4,0
Grade_28,0.074,48.4,46000.0,938.0,HRB, ,48.4,2,4,0
Grade_28,0.074,48.4,46000.0,944.0,HRB, ,48.4,2,4,0
